"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42268313329154,0.0612492680191263,-39.5544830435362,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20185781080782,0.0728529767420443,43.949581115194,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31371280980624,0.0589159739256273,-39.27140053268,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000116016",4423.94665216876,-1.88799902316703,0.0442896291690319,-42.628467625264,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000164251",2348.7701339719,3.34448004410373,0.0695585986713313,48.0814753026669,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39225737144657,0.0623260825028355,38.3829253400892,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83224920116506,0.0406907461416582,45.0286459428977,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84403385564836,0.0437279599278109,-42.1705896797522,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26603520653093,0.0560838085111247,40.4044458942449,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26253497977584,0.056921644318184,39.7482364902986,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19602944670919,0.0760899058503614,-42.0033302839737,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07977654786034,0.0552056581960796,37.6732497323624,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000139289",12942.9106281238,2.03730909683786,0.0478732269861319,42.556335244082,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95053917044957,0.044885793165401,43.4556021603977,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52368626658758,0.0656943817614391,38.415556991647,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85826276137916,0.0863777746851427,44.6673091017104,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40664708336713,0.0588444817805378,-40.898432793457,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92416384251484,0.0698307684365117,-41.875005931997,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14232539257576,0.0419633237064263,-51.0523286373448,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53445924194123,0.067500973553819,37.5470027839004,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000123416",4420.07398793879,-1.93835766665923,0.051737063247296,-37.4655526424867,3.35308803758737e-307,2.12074834834454e-304,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000150938",7442.98631416393,-2.05960011247304,0.0553184858823222,-37.2316790603123,2.09729603295438e-303,1.26619481407728e-300,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000157680",1359.06349386339,2.54495016774635,0.069237933578845,36.7565875554081,9.12461356373366e-296,5.26926597189176e-293,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000136068",3796.1265394147,-1.64977276499314,0.0449315987787361,-36.7174284876303,3.84987930888502e-295,2.13058737419212e-292,"FLNB","2317","filamin B"
"ENSG00000104081",804.838487338128,4.43411747111492,0.120973076287029,36.6537547627062,3.98723523532888e-294,2.11833833582553e-291,"BMF","90427","Bcl2 modifying factor"
"ENSG00000165434",1243.14971044106,2.51721438460405,0.0691632655648496,36.3952506297413,5.06097730864882e-290,2.58538079282591e-287,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000101825",1024.97040543336,3.28773227523305,0.0904656075959736,36.3423444842853,3.47140680355043e-289,1.7076750061021e-286,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000117724",1324.17284690485,-2.8250914800142,0.0779663509385604,-36.2347531467832,1.72751446148035e-287,8.19458824192214e-285,"CENPF","1063","centromere protein F"
